English Term,Estonian Term,Source Standard
channel,(mõõte)kanal,EVS-EN 61000-4-30:2015
declared input voltage,(määratletud) sisendpinge,EVS-EN 61000-4-30:2015
declared supply voltage,(määratletud) toitepinge,EVS-EN 61000-4-30:2015
dip threshold,pingelohu lävepiir,EVS-EN 61000-4-30:2015
flagged data,märgistatud andmed,EVS-EN 61000-4-30:2015
flicker,värelus,EVS-EN 61000-4-30:2015
short-term flicker evaluation (Pst),lühiajalise väreluse hinnang,EVS-EN 61000-4-30:2015
long-term flicker evaluation (Plt),pikaajalise väreluse hinnang,EVS-EN 61000-4-30:2015
fundamental component,põhikkomponent,EVS-EN 61000-4-30:2015
fundamental frequency,põhisagedus,EVS-EN 61000-4-30:2015
harmonic component,harmooniline komponent,EVS-EN 61000-4-30:2015
harmonic frequency,harmooniline sagedus,EVS-EN 61000-4-30:2015
hysteresis,hüstereesis,EVS-EN 61000-4-30:2015
influence quantity,mõjusuurus,EVS-EN 61000-4-30:2015
interharmonic component,vaheharmooniline [komponent],EVS-EN 61000-4-30:2015
interharmonic frequency,vaheharmooniline sagedus,EVS-EN 61000-4-30:2015
interruption,katkestus,EVS-EN 61000-4-30:2015
interruption threshold,katkestuse lävepiir,EVS-EN 61000-4-30:2015
measurement uncertainty,mõõtemääramatus,EVS-EN 61000-4-30:2015
nominal voltage,nimipinge,EVS-EN 61000-4-30:2015
overdeviation,ülehälve,EVS-EN 61000-4-30:2015
power quality,elektrikvaliteet,EVS-EN 61000-4-30:2015
r.m.s. value,efektiivväärtus,EVS-EN 61000-4-30:2015
r.m.s. voltage refreshed each half-cycle,igal poolperioodil uuendatud pinge efektiivväärtus,EVS-EN 61000-4-30:2015
r.m.s. current refreshed each half-cycle,igal poolperioodil uuendatud voolu efektiivväärtus,EVS-EN 61000-4-30:2015
r.m.s. voltage refreshed each cycle,igal perioodil uuendatud pinge efektiivväärtus,EVS-EN 61000-4-30:2015
range of influence quantities,mõjusuuruste ulatus,EVS-EN 61000-4-30:2015
rapid voltage change (RVC),kiire pingemuutus,EVS-EN 61000-4-30:2015
reference channel,tugikanal,EVS-EN 61000-4-30:2015
residual voltage (Ures),jääkpinge,EVS-EN 61000-4-30:2015
sliding reference voltage (Usr),muutuv võrdluspinge,EVS-EN 61000-4-30:2015
swell threshold,muhu lävepiir,EVS-EN 61000-4-30:2015
time aggregation,keskmistamine ajas,EVS-EN 61000-4-30:2015
underdeviation,alahälve,EVS-EN 61000-4-30:2015
coordinated universal time (UTC),koordineeritud maailmaaeg,EVS-EN 61000-4-30:2015
voltage dip,pingelohk,EVS-EN 61000-4-30:2015
voltage swell,pigemuhk,EVS-EN 61000-4-30:2015
voltage unbalance,pinge ebasümmeetria,EVS-EN 61000-4-30:2015
PV module,fotoelektriline moodul,EVS-HD 60364-7-712:2016
PV string,fotoelektriliste moodulite jada, fotoelektriline moodulijada,EVS-HD 60364-7-712:2016
PV array,fotoelektriline sektsioon,EVS-HD 60364-7-712:2016
PV generator,fotoelektriline generaator,EVS-HD 60364-7-712:2016
combiner box,ühenduskast,EVS-HD 60364-7-712:2016
PV sub-array,fotoelektriline allsektsioon,EVS-HD 60364-7-712:2016
PV string cable,fotoelektrilise moodulijada kaabel või juhe,EVS-HD 60364-7-712:2016
PV array cable,fotoelektrilise sektsiooni kaabel või juhe,EVS-HD 60364-7-712:2016
PV inverter,fotoelektriline vaheldi,EVS-HD 60364-7-712:2016
PV a.c. supply cable,fotoelektrilisest vaheldist väljuv vahelduvvoolu-toitekaabel või -juhe,EVS-HD 60364-7-712:2016
PV a.c. supply circuit,fotoelektrilisest vaheldist väljuv vahelduvvoolu-toiteahel,EVS-HD 60364-7-712:2016
PV installation,fotoelektriline paigaldis,EVS-HD 60364-7-712:2016
Standard Test Conditions (STC),standardsed katsetustingimused,EVS-HD 60364-7-712:2016
open-circuit voltage under standard test conditions,tühijooksupinge standardsetes katsetustingimustes,EVS-HD 60364-7-712:2016
open circuit maximum voltage,suurim tühijooksupinge,EVS-HD 60364-7-712:2016
short-circuit current under standard test conditions,lühisvool standardsetes katsetustingimustes,EVS-HD 60364-7-712:2016
short-circuit maximum current,suurim lühisvool,EVS-HD 60364-7-712:2016
SPD short-circuit current rating,tunnuslühisvool,EVS-HD 60364-7-712:2016
d.c. side,alalisvoolupool,EVS-HD 60364-7-712:2016
a.c. side,vahelduvvoolupool,EVS-HD 60364-7-712:2016
Maximum Power Point Tracking (MPPT),suurima võimsuspunkti järgimine,EVS-HD 60364-7-712:2016
PV module maximum overcurrent protection rating (MOD_MAX_OCPR),mooduli liigvoolukaitse suurim tunnusväärtus,EVS-HD 60364-7-712:2016
Lightning Protection System (LPS),piksekaitsesüsteem,EVS-HD 60364-7-712:2016
functional bonding,talitlus-potentsiaaliühtlustus,EVS-HD 60364-7-712:2016

